year	name	state	age	height	weight
1921	Margaret_Gorman	DC	16	61.00	108
1922	Mary_Catherine_Campbell	OH	16	67.00	140
1924	Ruth_Malcomson	PA	18	66.00	137
1925	Fay_Lanphier	CA	19	66.00	138
1926	Norma_Smallwood	OK	18	64.00	118
1927	Lois_Delander	IL	17	65.50	115
1933	Marian_Bergeron	CT	15	64.50	112
1935	Henrietta_Leaver	PA	17	66.00	120
1936	Rose_Coyle	PA	22	66.00	114
1937	Bette_Cooper	NJ	17	66.50	120
1938	Marilyn_Meseke	OH	20or21	67.00	128
1939	Patricia_Donnelly	MI	19	67.00	126
1940	Frances_Burke	PA	19	69.00	120
1941	Rosemary_LaPlanche	CA	18	65.50	120
1942	Jo-Carroll_Dennison	TX	18	65.00	118
1943	Jean_Bartel	CA	19	68.00	130
1944	Venus_Ramey	DC	19	67.00	125
1945	Bess_Myerson	NY	21	70.00	135
1946	Marilyn_Buferd	CA	21	68.00	123
1947	Barbara_Jo_Walker	TN	21	67.00	130
1948	Bebe_Shopp	MN	18	69.00	140
1949	Jacque_Mercer	AZ	18	63.00	106
1951	Yolande_Betbeze	AL	18or21	65.50	119
1952	Colleen_Hutchins	UT	25	70.00	143
1953	Neva_Jane_Langley	GA	19	66.25	118
1954	Evelyn_Ay	PA	20	68.00	132
1955	Lee_Meriwether	CA	19	68.50	124
1956	Sharon_Ritchie	CO	18	66.00	116
1957	Marian_McKnight	SC	19	65.00	120
1958	Marilyn_Van_Derbur	CO	20	68.25	130
1959	Mary_Ann_Mobley	MS	21	65.00	114
1960	Lynda_Mead	MS	20	67.00	120
1961	Nancy_Fleming	MI	18	66.00	116
1962	Maria_Fletcher	NC	19	65.50	118
1963	Jacquelyn_Mayer	OH	20	65.00	115
1964	Donna_Axum	AR	21	66.50	124
1965	Vonda_Kay_Van_Dyke	AZ	21	66.00	124
1966	Deborah_Bryant	KS	19	67.00	115
1967	Jane_Jayroe	OK	19	66.00	116
1968	Debra_Barnes	KS	20	69.00	135
1969	Judith_Ford	IL	18	67.00	125
1970	Pam_Eldred	MI	21	65.50	110
1971	Phyllis_George	TX	21	68.00	121
1972	Laurel_Lea_Schaefer	OH	22	67.00	118
1973	Terry_Meeuwsen	WI	23	68.00	120
1974	Rebecca_King	CO	23	69.00	125
1975	Shirley_Cothran	TX	21	68.00	119
1976	Tawny_Godin	NY	18	70.00	128
1977	Dorothy_Benham	MN	20	67.00	120
1978	Susan_Perkins	OH	23	65.00	105
1979	Kylene_Barker	VA	22	64.00	108
1980	Cheryl_Prewitt	MS	22	67.00	114
1981	Susan_Powell	OK	21	64.00	110
1982	Elizabeth_Ward	AR	20	69.00	129
1983	Debra_Maffett	CA	25	67.00	115
1984	Vanessa_Williams	NY	20	66.00	110
1984	Suzette_Charles	NJ	20	63.00	100
1985	Sharlene_Wells	UT	20	68.00	120
1986	Susan_Akin	MS	21	69.00	114
1987	Kellye_Cash	TN	21	68.00	116
1988	Kaye_Lani_Rae_Rafko	MI	24	70.00	131
1989	Gretchen_Carlson	MN	22	63.00	108
1990	Debbye_Turner	MO	23	68.00	118
1991	Marjorie_Vincent	IL	25	66.00	110
1992	Carolyn_Sapp	HI	24	70.00	*
1993	Leanza_Cornett	FL	21	*	*
1994	Kimberly_Aiken	SC	18	*	*
1995	Heather_Whitestone	AL	21	*	*
1996	Shawntel_Smith	OK	24	*	*
1997	Tara_Dawn_Holland	KS	23	*	*
1998	Kate_Shindle	IL	21	71.00	145
1999	Nicole_Johnson	VA	24	69.00	133
2000	Heather_Renee_French	KY	24	66.00	*
2001	Angela_Perez_Baraquio	HI	24	64.00	118
2002	Katie_Harman	OR	21	63.00	110
