epoch	reward_per_epoch
1	4.0
2	19.5
3	11.0
4	19.0
5	21.0
6	17.75
7	22.0
8	1.66666666667
9	27.5
10	20.3333333333
11	6.75
12	18.25
13	27.0
14	20.0
15	45.25
16	27.25
17	27.25
18	10.25
19	2.25
20	6.0
21	16.0
22	42.0
23	4.66666666667
24	19.5
25	35.0
26	30.25
27	34.5
28	13.5
29	37.5
30	43.75
31	35.75
32	6.5
33	12.75
34	24.3333333333
35	13.0
36	20.6666666667
37	21.75
38	42.0
39	0.0
40	17.0
41	5.75
42	9.33333333333
43	26.75
44	26.25
45	56.25
46	38.0
47	30.75
48	7.0
49	18.5
50	23.0
51	9.0
52	24.75
53	30.0
54	19.25
55	8.66666666667
56	37.5
57	51.75
58	40.0
59	66.25
60	21.75
61	0.0
62	33.25
63	21.5
64	17.6666666667
65	29.5
66	51.0
67	1.75
68	0.0
69	22.75
70	39.25
71	20.0
72	21.5
73	30.25
74	32.0
75	30.5
76	40.75
77	24.5
78	35.75
79	29.0
80	30.25
81	48.25
82	19.3333333333
83	44.75
84	24.0
85	12.3333333333
86	30.0
87	44.5
88	29.75
89	20.75
90	41.75
91	2.25
92	38.0
93	31.75
94	30.0
95	36.0
96	43.25
97	42.0
98	31.25
99	59.5
100	49.25
