epoch	reward_per_epoch
1	14
2	27.75
3	45.75
4	32.25
5	0
6	10.25
7	18.5
8	18.25
9	39.25
10	54.25
11	54
12	22
13	30.25
14	28.75
15	11.66666667
16	30.25
17	29.25
18	46
19	0.25
20	30.75
21	4
22	20
23	20.25
24	32.25
25	16.5
26	30
27	2.25
28	2.25
29	15.25
30	29
31	29
32	14.25
33	30
34	28.75
35	7.25
36	36.33333333
37	20.66666667
38	28.75
39	2.25
40	19.75
41	20.66666667
42	11.33333333
43	17.75
44	15.75
45	2.25
46	24.33333333
47	20.33333333
48	14
49	19
50	2.25
51	10.5
52	9.5
53	32.25
54	40.33333333
55	23.66666667
56	6
57	8.25
58	25
59	0
60	27
61	26.25
62	29.5
63	2.25
64	19.75
65	26
66	58.25
67	33.75
68	0.75
69	25.25
70	27
71	12.5
72	41.25
73	29.33333333
74	16.25
75	27.5
76	1
77	28.25
78	31.66666667
79	20
80	30
81	5.25
82	34.66666667
83	26.33333333
84	27
85	16
86	18.75
87	14
88	22.25
89	39
90	4.5
91	7.5
92	8.25
93	6
94	24.25
95	9
96	23.25
97	24
98	18.75
99	13.75
100	28.25
