epoch	reward_per_epoch
1	4.666666667
2	30
3	20.75
4	3
5	1.5
6	12.33333333
7	1
8	5.333333333
9	15
10	0
11	22.25
12	3.666666667
13	0
14	0.75
15	10
16	0
17	15
18	3
19	29.5
20	27.25
21	46.75
22	42
23	28
24	34.5
25	31.66666667
26	45
27	0.25
28	30
29	63
30	24
31	30
32	14.75
33	5
34	23.5
35	27.66666667
36	27.66666667
37	35.25
38	20
39	30
40	27.25
41	2
42	13.25
43	30
44	30
45	4.5
46	30
47	30
48	2
49	30
50	0
51	1.333333333
52	14
53	30
54	5.666666667
55	26.5
56	4
57	20.75
58	28
59	35.25
60	8.333333333
61	2.75
62	5.333333333
63	2.666666667
64	30
65	1
66	0
67	4
68	29.5
69	5
70	33.25
71	54
72	10
73	1
74	19.33333333
75	9.75
76	23.5
77	1
78	0.25
79	27.75
80	23
81	26.5
82	28.5
83	0.75
84	30
85	8
86	24.5
87	27.66666667
88	30
89	29
90	10.66666667
91	6.666666667
92	27
93	23.5
94	32
95	0
96	32.33333333
97	4.666666667
98	31.5
99	29.25
100	30
