epoch	reward_per_epoch
1	1.222222222
2	0.144927536
3	0.178082192
4	5.444444444
5	8.5
6	7.461538462
7	13.26666667
8	7.695652174
9	11.85
10	8.285714286
11	12.47368421
12	14.04347826
13	16.76470588
14	24.94117647
15	31.91666667
16	19.71428571
17	37.81818182
18	6.064516129
19	9.470588235
20	38.09090909
21	33.54545455
22	21.42857143
23	86.375
24	7.125
25	74.22222222
26	65.45454545
27	63.875
28	80
29	28.8
30	8.739130435
31	126.7142857
32	128.7142857
33	36.5
34	83
35	66.66666667
36	153.6666667
37	51.375
38	86.28571429
39	47
40	72.57142857
41	26.83333333
42	28.63636364
43	17.77777778
44	0.146666667
45	21.77777778
46	168.1666667
47	23
48	57.22222222
49	48.5
50 	178
51	57.22222222
52	0.708333333
53	65
54	67.375
55	41.11111111
56	62.57142857
57	55.375
58	81.42857143
59	0.064935065
60	2.42
61	24.71428571
62	52
63	76.375
64	86.85714286
65	32
66	55.25
67	53.88888889
68	69.25
69	1.725490196
70	55.5
71	38.5
72	43.22222222
73	56
74	8.033333333
75	18.42857143
76	53.66666667
77	81.57142857
78	65.25
79	21.91666667
80	35.63636364
81	68.75
82	98.42857143
83	4.666666667
84	21.07142857
85	57.6
86	68.25
87	65.7
88	42.11111111
89	2.301886792
90	22.66666667
91	59.25
92	15.14285714
93	1.033333333
94	34.7
95	14.73684211
96	4.909090909
97	8.655172414
98	38.16666667
99	18.33333333
100	49.625
