epoch	reward_per_epoch
1	115.714285714
2	181.428571429
3	171.428571429
4	198.666666667
5	166.666666667
6	240.0
7	110.0
8	253.333333333
9	212.307692308
10	186.25
11	163.076923077
12	220.0
13	158.823529412
14	194.117647059
15	208.888888889
16	252.0
17	227.058823529
18	254.285714286
19	245.882352941
20	343.076923077
21	266.25
22	305.0
23	220.0
24	281.428571429
25	270.588235294
26	453.846153846
27	240.0
28	381.428571429
29	252.222222222
30	513.846153846
31	650.909090909
32	448.571428571
33	728.0
34	414.285714286
35	490.0
36	623.636363636
37	738.0
38	466.153846154
39	893.333333333
40	1080.0
41	355.714285714
42	1120.0
43	1200.0
44	1268.57142857
45	774.0
46	1844.0
47	1082.5
48	2008.0
49	1190.0
50	2276.0
51	1331.42857143
52	800.0
53	1197.5
54	563.333333333
55	2344.0
56	2485.0
57	1228.57142857
58	1446.66666667
59	2224.0
60	1230.0
61	2344.0
62	1416.66666667
63	1720.0
64	738.181818182
65	2410.0
66	1806.66666667
67	2168.0
68	2300.0
69	2108.0
70	1500.0
71	2675.0
72	1257.5
73	2395.0
74	1920.0
75	1736.0
76	1936.0
77	2268.0
78	2208.0
79	1916.66666667
80	2124.0
81	1620.0
82	1946.66666667
83	1896.66666667
84	2375.0
85	2470.0
86	1908.0
87	2032.0
88	2136.0
89	2375.0
90	2356.0
91	1923.33333333
92	1912.0
93	2575.0
94	2475.0
95	1397.14285714
96	1956.66666667
97	2805.0
98	1706.66666667
99	2244.0
100	2555.0
