epoch	reward_per_epoch
1	149.2307692
2	193.3333333
3	118.6666667
4	196
5	222.6666667
6	241.5384615
7	210
8	180
9	265.7142857
10	249.2307692
11	170
12	129.0909091
13	166
14	178.5714286
15	196.6666667
16	315.7142857
17	268.75
18	261.25
19	291.4285714
20	269.4117647
21	288.75
22	272.3076923
23	218.75
24	361.4285714
25	241.6666667
26	420
27	538.3333333
28	387.6923077
29	240
30	606
31	498.4615385
32	858
33	1152.5
34	862.2222222
35	1212.5
36	475
37	712.7272727
38	1550
39	1936
40	1140
41	457.1428571
42	915.5555556
43	922.2222222
44	1185.714286
45	1736
46	858
47	2056
48	1832
49	477.3333333
50	1345.714286
51	1603.333333
52	1606.666667
53	2000
54	1137.5
55	2164
56	2144
57	1340
58	1307.5
59	1732
60	1900
61	1864
62	1100
63	2268
64	2148
65	1488.571429
66	1706.666667
67	1952
68	1531.428571
69	1683.333333
70	1683.333333
71	1380
72	1736.666667
73	2395
74	2060
75	2605
76	1803.333333
77	1502.857143
78	2168
79	2535
80	1522.857143
81	2104
82	1944
83	1235
84	1803.333333
85	1242.5
86	1984
87	2044
88	2680
89	920
90	2300
91	1260
92	2670
93	1271.428571
94	2148
95	1940
96	1924
97	2128
98	1503.333333
99	2315
100	1583.333333
