epoch	reward_per_epoch
1	188.181818182
2	137.037037037
3	249.0
4	247.5
5	331.764705882
6	231.034482759
7	190.322580645
8	207.5
9	209.230769231
10	227.333333333
11	288.888888889
12	188.333333333
13	213.529411765
14	235.625
15	242.666666667
16	290.0
17	347.692307692
18	251.724137931
19	275.483870968
20	438.333333333
21	580.0
22	335.333333333
23	345.925925926
24	468.695652174
25	386.666666667
26	523.636363636
27	330.322580645
28	516.52173913
29	347.857142857
30	311.034482759
31	484.166666667
32	535.0
33	461.666666667
34	835.0
35	440.740740741
36	501.6
37	623.636363636
38	595.238095238
39	989.333333333
40	579.047619048
41	1236.92307692
42	1040.0
43	986.25
44	1518.33333333
45	1473.33333333
46	1107.14285714
47	1218.57142857
48	1100.0
49	1304.61538462
50	1178.66666667
51	1276.92307692
52	1734.54545455
53	1347.69230769
54	1392.30769231
55	1561.66666667
56	1696.36363636
57	1518.33333333
58	1593.33333333
59	1736.0
60	1806.0
61	1495.0
62	1308.57142857
63	1558.33333333
64	1400.0
65	1800.0
66	1277.14285714
67	1521.66666667
68	1281.53846154
69	1784.0
70	1996.0
71	1285.71428571
72	1621.66666667
73	1874.0
74	1806.0
75	1660.0
76	1264.28571429
77	1161.33333333
78	1503.07692308
79	1201.33333333
80	890.588235294
81	1647.27272727
82	1435.38461538
83	1944.0
84	1315.38461538
85	2064.44444444
86	1458.46153846
87	1426.15384615
88	1014.11764706
89	1880.0
90	1772.0
91	1982.0
92	1690.90909091
93	2017.77777778
94	1406.15384615
95	1473.84615385
96	1378.46153846
97	1830.0
98	1652.72727273
99	925.263157895
100	1820.0
101	970.0
102	1090.58823529
103	1670.0
104	1173.75
105	1792.72727273
106	1521.53846154
107	1470.76923077
108	1431.42857143
109	2074.0
110	1758.33333333
111	1740.0
112	1223.75
113	1720.0
114	1151.76470588
115	1468.57142857
116	1457.14285714
117	1750.0
118	1268.75
119	1641.53846154
120	1815.0
121	1949.09090909
