epoch	reward_per_epoch
1	218
2	225
3	260
4	168.5714286
5	160
6	247.2727273
7	198.3333333
8	186.6666667
9	204
10	233.8461538
11	272.3076923
12	152.9411765
13	228.3333333
14	212
15	150.5882353
16	377.5
17	217.5
18	304.4444444
19	245
20	277.1428571
21	318.3333333
22	232
23	343.3333333
24	192.2222222
25	240
26	325.3333333
27	256.25
28	218.75
29	212.2222222
30	258.5714286
31	243.5294118
32	386.1538462
33	510.9090909
34	281.4285714
35	415.3846154
36	480
37	446.6666667
38	398.4615385
39	475
40	435.3846154
41	262.5
42	618
43	713.3333333
44	877.5
45	369.2307692
46	680
47	410
48	684.4444444
49	666.6666667
50	463.3333333
51	371.4285714
52	686.6666667
53	830
54	1011.428571
55	715.5555556
56	509.0909091
57	1076.666667
58	658
59	887.5
60	1040
61	928.5714286
62	528.3333333
63	632
64	427.6923077
65	847.5
66	487.2727273
67	618
68	842.5
69	1005.714286
70	481.6666667
71	616
72	857.5
73	636
74	1005.714286
75	342.8571429
76	549.0909091
77	518
78	962.8571429
79	773.3333333
80	630
81	1008.571429
82	870
83	658
84	922.5
85	815
86	616
87	572.7272727
88	872.5
89	1348
90	1360
91	490
92	532.7272727
93	1093.333333
94	1136.666667
95	1156.666667
96	751.1111111
97	216
98	548.3333333
99	424.2857143
100	272.2222222
