epoch	reward_per_epoch
1	141.5384615
2	218.3333333
3	151.6666667
4	228.8888889
5	145
6	312.5
7	390
8	283.6363636
9	231.6666667
10	265.4545455
11	207.1428571
12	323.6363636
13	353.3333333
14	205
15	137.7777778
16	269.0909091
17	178.5714286
18	114.4444444
19	243.0769231
20	391.4285714
21	134.1176471
22	187.1428571
23	174.6666667
24	227.6923077
25	240
26	170
27	283.3333333
28	304
29	229.2307692
30	296
31	215.3846154
32	215.3846154
33	198.5714286
34	108.4210526
35	190
36	178.5714286
37	260
38	229.2307692
39	310
40	243.6363636
41	238.3333333
42	137.6470588
43	218.5714286
44	355
45	258.1818182
46	229.2307692
47	274.5454545
48	253.8461538
49	317.7777778
50	275.3846154
51	348
52	360
53	261.5384615
54	244
55	178.75
56	328.3333333
57	290
58	274.5454545
59	228.5714286
60	249.3333333
61	249.2307692
62	309.0909091
63	267.6923077
64	254.2857143
65	270.9090909
66	238.5714286
67	241.6666667
68	181.25
69	183.75
70	101.1111111
71	187.5
72	202.8571429
73	251.4285714
74	200
75	255.3846154
76	257.1428571
77	250.7692308
78	277.1428571
79	312
80	210
81	207.6923077
82	172.2222222
83	212.3076923
84	107.7777778
85	292.8571429
86	446.6666667
87	221.4285714
88	164.4444444
89	488.5714286
90	196
91	284.6153846
92	358.1818182
93	300
94	151.7647059
95	258.4615385
96	267.1428571
97	260
98	320
99	318.3333333
100	254.6666667
