epoch	reward_per_epoch
1	100
2	81.11111111
3	120
4	300
5	224
6	648
7	390
8	346.6666667
9	336
10	364
11	305.4545455
12	332.7272727
13	396
14	255.3846154
15	310.9090909
16	394
17	354.5454545
18	336.3636364
19	348.3333333
20	370.9090909
21	380
22	462
23	432.7272727
24	343.3333333
25	412.7272727
26	566.6666667
27	526.6666667
28	511.1111111
29	430.9090909
30	370
31	400
32	520
33	398.1818182
34	571.1111111
35	637.5
36	685
37	652.5
38	540
39	516
40	620
41	396.6666667
42	488
43	597.7777778
44	580
45	720
46	540
47	842.8571429
48	611.1111111
49	805
50	657.5
51	588
52	902.8571429
53	677.7777778
54	957.1428571
55	812.5
56	498.1818182
57	891.4285714
58	715.5555556
59	800
60	1037.142857
61	534
62	713.3333333
63	1174.285714
64	1137.142857
65	1085.714286
66	1756
67	611.1111111
68	1140
69	1071.428571
70	1353.333333
71	1423.333333
72	882.5
73	831.4285714
74	1220
75	672
76	862.5
77	1025.714286
78	1490
79	738
80	1528
81	847.5
82	1808
83	1062.857143
84	937.5
85	289.2307692
86	1433.333333
87	1472
88	378.4615385
89	1676
90	720
91	1346.666667
92	1506.666667
93	927.5
94	1353.333333
95	1556
96	1180
97	574
98	1576.666667
99	900
100	860
